#GCA_019684715.1_ASM1968471v1_genomic.fna	R. lentis BLR27
#GCA_019793435.1_ASM1979343v1_genomic.fna	R. redzepovicii 18T 
#GCA_019793465.1_ASM1979346v1_genomic.fna	R. croatiense 13T
#GCA_021168455.1_ASM2116845v1_genomic.fna	R. quercicola DKSPLA3 
GCA_021310995.1_ASM2131099v1_genomic.fna	A. vaccinii B7.6 
#GCA_021555155.1_ASM2155515v1_genomic.fna	R. alarense TRM95111 
#GCA_025941625.1_ASM2594162v1_genomic.fna	R. acaciae 1AS11 
GCA_030036535.1_ASM3003653v1_genomic.fna	A. cucumeris O132
#GCA_030160595.1_ASM3016059v1_genomic.fna	R. indigoferae NBRC 100398 
#GCA_030272695.1_ASM3027269v1_genomic.fna	R. calliandrae CCGE524 
#GCA_030272705.1_ASM3027270v1_genomic.fna	R. mayense CCGE526
GCA_030551875.1_ASM3055187v1_genomic.fna	R. alvei TNR-22 
GCA_033842645.1_ASM3384264v1_genomic.fna	R. leguminosarum ATCC 10004  
#GCA_900094545.1_IMG-taxon_2617270742_annotated_assembly_genomic.fna	R. miluonense HAMBI 2971
#GCA_900094555.1_IMG-taxon_2615840609_annotated_assembly_genomic.fna	R. hainanense CCBAU 57015
#GCA_900094565.1_IMG-taxon_2615840626_annotated_assembly_genomic.fna	R. lusitanum P1-7
#GCA_900094585.1_IMG-taxon_2615840698_annotated_assembly_genomic.fna	R. multihospitium HAMBI 2975
#GCA_900094625.1_IMG-taxon_2615840624_annotated_assembly_genomic.fna	R. sp. HBR26
#GCA_900099775.1_IMG-taxon_2596583570_annotated_assembly_genomic.fna	R. loessense CGMCC 1.3401
#GCA_900108425.1_Tibet_genomic.fna	R. tibeticum isolate CCBAU85039
#GCA_900110205.1_IMG-taxon_2671180023_annotated_assembly_genomic.fna	R. tibeticum CGMCC 1.7071
#GCA_900220975.1_IMG-taxon_2740891857_annotated_assembly_genomic.fna	R. subbaraonis JC85


